city,month,passengers,passengers_prior_year,yoy_pct
Anchorage,2025-04,166269,176066,-5.6
Anchorage,2025-05,224152,233423,-4.0
Anchorage,2025-06,309778,306456,1.1
Anchorage,2025-07,371245,367352,1.1
Anchorage,2025-08,360793,360258,0.1
Anchorage,2025-09,245384,250717,-2.1
Anchorage,2025-10,192275,192785,-0.3
Anchorage,2025-11,163804,165899,-1.3
Anchorage,2025-12,185000,180572,2.5
Anchorage,2026-01,163595,165510,-1.2
Anchorage,2026-02,151865,151044,0.5
Anchorage,2026-03,191117,179105,6.7
Boston,2025-04,1826618,1749629,4.4
Boston,2025-05,1881931,1918044,-1.9
Boston,2025-06,1948188,1969017,-1.1
Boston,2025-07,2026031,2038593,-0.6
Boston,2025-08,2004088,2062262,-2.8
Boston,2025-09,1741174,1811782,-3.9
Boston,2025-10,1944286,1991427,-2.4
Boston,2025-11,1591829,1668299,-4.6
Boston,2025-12,1707002,1767981,-3.4
Boston,2026-01,1289504,1352775,-4.7
Boston,2026-02,1337539,1388396,-3.7
Boston,2026-03,1666281,1693662,-1.6
Chicago,2025-04,3876360,3930679,-1.4
Chicago,2025-05,4498552,4476158,0.5
Chicago,2025-06,4938382,4679343,5.5
Chicago,2025-07,4991155,4784480,4.3
Chicago,2025-08,4773625,4651158,2.6
Chicago,2025-09,4478269,4327900,3.5
Chicago,2025-10,4699624,4383320,7.2
Chicago,2025-11,3768452,3783151,-0.4
Chicago,2025-12,4062615,4029300,0.8
Chicago,2026-01,3244035,3187864,1.8
Chicago,2026-02,3364118,3003199,12.0
Chicago,2026-03,4401972,4000926,10.0
Denver,2025-04,3045552,3231391,-5.8
Denver,2025-05,3488051,3562863,-2.1
Denver,2025-06,3715984,3692411,0.6
Denver,2025-07,3904118,3852600,1.3
Denver,2025-08,3655202,3606323,1.4
Denver,2025-09,3432749,3375954,1.7
Denver,2025-10,3587810,3483058,3.0
Denver,2025-11,3049618,3062682,-0.4
Denver,2025-12,3257797,3318223,-1.8
Denver,2026-01,2873165,2907286,-1.2
Denver,2026-02,2783943,2733042,1.9
Denver,2026-03,3402446,3333652,2.1
Los Angeles,2025-04,2991624,3019611,-0.9
Los Angeles,2025-05,3221889,3398747,-5.2
Los Angeles,2025-06,3537084,3573841,-1.0
Los Angeles,2025-07,3533343,3613703,-2.2
Los Angeles,2025-08,3300021,3452563,-4.4
Los Angeles,2025-09,2875336,3076341,-6.5
Los Angeles,2025-10,3112959,3219924,-3.3
Los Angeles,2025-11,2840103,3013788,-5.8
Los Angeles,2025-12,3151367,3290943,-4.2
Los Angeles,2026-01,2684804,2698719,-0.5
Los Angeles,2026-02,2446564,2467710,-0.9
Los Angeles,2026-03,2999340,3036732,-1.2
New York,2025-04,5858362,5948699,-1.5
New York,2025-05,5979128,6454944,-7.4
New York,2025-06,6232520,6567966,-5.1
New York,2025-07,6678658,6896289,-3.2
New York,2025-08,6730304,6613734,1.8
New York,2025-09,5716638,5849788,-2.3
New York,2025-10,6093278,6233052,-2.2
New York,2025-11,5627892,5757530,-2.3
New York,2025-12,6199966,6413883,-3.3
New York,2026-01,5003847,5260841,-4.9
New York,2026-02,4585712,4792454,-4.3
New York,2026-03,5665895,5686489,-0.4
Orlando,2025-04,2404554,2444530,-1.6
Orlando,2025-05,2399688,2480313,-3.3
Orlando,2025-06,2355899,2380329,-1.0
Orlando,2025-07,2429337,2398613,1.3
Orlando,2025-08,2312688,2210645,4.6
Orlando,2025-09,1949032,1914131,1.8
Orlando,2025-10,2294952,1987211,15.5
Orlando,2025-11,2272869,2250537,1.0
Orlando,2025-12,2498941,2448298,2.1
Orlando,2026-01,2436342,2362436,3.1
Orlando,2026-02,2321219,2196687,5.7
Orlando,2026-03,2626988,2602212,1.0
Seattle,2025-04,1965292,1921251,2.3
Seattle,2025-05,2213977,2206880,0.3
Seattle,2025-06,2487771,2472670,0.6
Seattle,2025-07,2678046,2656126,0.8
Seattle,2025-08,2644693,2641110,0.1
Seattle,2025-09,2214209,2300820,-3.8
Seattle,2025-10,2106606,2150632,-2.0
Seattle,2025-11,1816765,1881918,-3.5
Seattle,2025-12,2015625,2070366,-2.6
Seattle,2026-01,1694851,1735068,-2.3
Seattle,2026-02,1634110,1619125,0.9
Seattle,2026-03,1907394,1935029,-1.4
